,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
61,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,4,1,16,0.6932,100.0,0.5077
62,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,4,5,16,0.6633,100.0,0.5378
63,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,4,10,16,0.6286,100.0,0.5735
64,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,4,15,16,0.5968,100.0,0.6069
65,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,5,1,16,0.694,100.0,0.506
66,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,5,5,16,0.6704,100.0,0.5298
67,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,5,10,16,0.6423,100.0,0.5587
68,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,5,15,16,0.6155,100.0,0.5866
69,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,6,1,16,0.6952,100.0,0.5036
70,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,6,5,16,0.6808,100.0,0.518
71,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,6,10,16,0.6631,100.0,0.536
72,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,6,15,16,0.6454,100.0,0.5542
73,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,1,1,16,0.6925,100.0,0.5091
74,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,1,5,16,0.6572,100.0,0.5447
75,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,1,10,16,0.6154,100.0,0.5882
76,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,1,15,16,0.5749,100.0,0.6311
77,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,2,1,16,0.6942,100.0,0.5057
78,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,2,5,16,0.6716,100.0,0.5284
79,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,2,10,16,0.6441,100.0,0.5566
80,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,2,15,16,0.6171,100.0,0.5849
81,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,3,1,16,0.6933,100.0,0.5074
82,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,3,5,16,0.6645,100.0,0.5364
