,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
76,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,25,32,0.1999,50.0,0.5721
77,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,30,32,0.1728,62.5,0.5852
78,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,1,32,0.5572,50.0,0.5
79,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,5,32,0.4281,50.0,0.5
80,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,32,0.4281,50.0,0.5
81,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,32,0.428,50.0,0.5
82,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,20,32,0.428,50.0,0.5001
83,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,25,32,0.4279,50.0,0.5001
84,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,30,32,0.4277,50.0,0.5001
85,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,32,0.3601,50.0,0.5105
86,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,5,32,0.0126,50.0,0.6787
87,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,10,32,0.0004,75.0,0.6912
88,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,15,32,0.0003,87.5,0.691
89,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,20,32,0.0002,87.5,0.691
90,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,25,32,0.0002,75.0,0.691
91,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,30,32,0.0002,75.0,0.691
92,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,1,32,0.5138,50.0,0.5001
93,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,5,32,0.3039,50.0,0.5022
94,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,10,32,0.2822,50.0,0.5161
95,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,15,32,0.1709,75.0,0.6127
96,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,20,32,0.0645,75.0,0.6672
97,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,25,32,0.0164,100.0,0.7066
98,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,30,32,0.0004,62.5,0.6901
99,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,1,32,0.582,50.0,0.5038
100,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,5,32,0.2679,50.0,0.5697
101,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,10,32,0.1017,75.0,0.6882
102,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,15,32,0.0045,87.5,0.6976
103,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,20,32,0.0011,87.5,0.6927
104,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,25,32,0.0004,87.5,0.6913
105,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,30,32,0.0002,87.5,0.6907
106,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,1,32,0.3365,50.0,0.5094
107,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,5,32,0.2128,62.5,0.6134
108,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,10,32,0.004,75.0,0.6953
